s,s,b,b,b,b,e,e,e,e,e,b,e,e,b,e,e,e,b,b,e,e,e,e,e,e,
s,s,b,b,b,b,e,e,e,e,e,b,e,e,b,e,e,e,b,b,e,e,e,e,e,e,
b,b,b,b,e,e,s,e,e,e,e,b,b,b,b,e,e,e,f,f,f,f,f,f,e,e,
b,b,b,b,e,e,s,e,e,e,e,e,e,e,e,e,e,e,f,f,f,f,f,f,e,e,
b,b,e,e,e,e,s,e,e,e,e,e,e,e,e,e,e,e,f,f,f,f,f,f,e,e,
b,b,e,e,e,e,s,e,e,e,e,e,e,e,b,b,b,b,f,f,f,f,f,f,e,e,
e,e,e,e,e,e,e,e,e,e,b,b,e,e,b,b,b,b,f,f,f,f,f,f,f,f,
e,e,e,e,e,e,e,e,e,e,b,b,e,e,e,e,e,e,f,f,f,f,f,f,f,f,
b,b,b,e,e,b,b,b,b,e,e,b,e,e,e,e,e,e,f,f,f,f,f,f,f,f,
b,b,b,e,e,b,b,b,b,e,e,b,b,b,b,b,b,b,f,f,f,f,f,f,f,f,
e,e,b,b,e,e,b,b,e,e,e,e,e,e,e,e,e,e,f,f,f,f,f,f,f,f,
e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,f,f,f,f,f,f,f,f,
e,e,f,f,e,e,e,e,e,e,e,e,s,s,s,s,s,s,e,e,e,e,f,f,e,e,
e,e,f,f,e,e,e,e,e,e,e,e,s,s,s,s,s,s,e,e,e,e,f,f,e,e,
f,f,f,f,f,f,f,f,e,e,e,e,b,b,e,e,e,e,e,e,e,e,e,b,e,e,
f,f,f,f,f,f,f,f,e,e,e,e,b,b,e,e,e,e,e,e,e,e,e,b,e,e,
f,f,f,f,f,f,f,f,b,b,b,b,b,b,e,e,e,e,b,b,e,e,e,b,e,e,
f,f,f,f,f,f,f,f,b,b,b,b,b,b,b,b,e,e,b,b,e,e,e,b,e,e,
e,e,f,f,f,f,f,f,e,e,e,e,e,e,b,b,e,e,b,b,b,b,b,b,b,e,
e,e,f,f,f,f,f,f,e,e,e,e,e,e,b,b,e,e,b,b,b,b,b,b,b,e,
b,b,f,f,f,f,f,f,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,
b,b,f,f,f,f,f,f,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,
e,e,f,f,f,f,f,f,b,b,e,e,e,e,e,e,e,e,e,e,s,s,s,s,s,s,
e,e,f,f,f,f,f,f,b,b,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,
e,e,e,e,e,e,e,e,b,b,e,e,e,e,e,e,b,b,e,e,e,e,e,e,e,e,
e,e,e,e,e,e,e,e,b,b,e,e,e,e,e,e,b,b,e,e,e,e,e,e,e,e,
