e,e,b,b,e,e,b,b,e,e,e,b,e,e,b,e,e,e,b,b,b,b,b,b,e,e
e,e,b,b,e,e,b,b,e,e,e,b,e,e,b,e,e,e,b,b,b,b,b,b,e,e
e,e,b,b,e,e,e,e,e,e,e,b,b,b,b,e,e,e,b,b,e,e,b,b,e,e
e,e,b,b,e,e,e,e,e,e,e,e,e,e,e,e,e,e,b,b,e,e,b,b,e,e
e,e,b,b,e,e,b,b,e,e,b,b,b,b,b,b,e,e,e,e,e,e,e,e,e,e
e,e,b,b,e,e,b,b,e,e,b,b,b,b,b,b,e,e,e,e,e,e,e,e,e,e
e,e,b,b,e,e,b,b,e,e,b,b,b,b,b,b,e,e,b,b,s,s,b,b,e,e
e,e,b,b,e,e,b,b,e,e,b,b,b,b,b,b,e,e,b,b,s,s,b,b,e,e
s,s,b,b,e,e,s,s,e,e,b,b,e,e,b,b,e,e,e,e,e,e,b,b,e,e
s,s,b,b,e,e,s,s,e,e,b,b,e,e,b,b,e,e,e,e,e,e,b,b,e,e
e,e,e,e,e,e,s,s,f,f,b,b,e,e,b,b,e,e,b,b,e,e,b,b,e,e
e,e,e,e,e,e,s,s,f,f,b,b,e,e,b,b,e,e,b,b,e,e,b,b,e,e
e,e,b,b,b,b,b,b,f,f,f,f,f,f,s,s,e,e,e,e,f,f,b,b,e,e
e,e,b,b,b,b,b,b,f,f,f,f,f,f,s,s,e,e,e,e,f,f,b,b,e,e
f,f,f,f,e,e,e,e,e,e,b,b,e,e,e,e,s,s,e,e,f,f,e,e,e,e
f,f,f,f,e,e,e,e,e,e,b,b,e,e,e,e,s,s,e,e,f,f,e,e,e,e
f,f,e,e,e,e,b,b,e,e,e,e,s,s,e,e,e,e,b,b,f,f,b,b,s,s
f,f,e,e,e,e,b,b,e,e,e,e,s,s,e,e,e,e,b,b,f,f,b,b,s,s
e,e,e,e,e,e,b,b,e,e,e,e,e,e,e,e,e,e,s,s,e,e,e,e,e,e
e,e,e,e,e,e,b,b,e,e,e,e,e,e,e,e,e,e,s,s,e,e,e,e,e,e
e,e,b,b,e,e,e,e,e,e,e,e,b,b,b,b,e,e,b,b,e,e,b,b,e,e
e,e,b,b,e,e,e,e,e,e,e,e,b,b,b,b,e,e,b,b,e,e,b,b,e,e
e,e,b,b,e,e,s,s,e,e,e,e,e,e,b,b,e,e,b,b,e,e,b,b,e,e
e,e,b,b,e,e,s,s,e,e,e,e,e,e,b,b,e,e,b,b,e,e,b,b,e,e
e,e,e,e,e,e,s,s,e,e,e,e,e,e,s,s,e,e,e,e,e,e,e,e,e,e
e,e,e,e,e,e,s,s,e,e,e,e,e,e,s,s,e,e,e,e,e,e,e,e,e,e
