s,s,f,f,e,e,e,e,e,e,e,b,e,e,b,e,e,e,e,e,f,f,f,f,s,s,
s,s,f,f,e,e,e,e,e,e,e,b,e,e,b,e,e,e,e,e,f,f,f,f,s,s,
f,f,e,e,e,e,e,e,e,e,e,b,b,b,b,e,e,e,e,e,e,e,f,f,f,f,
f,f,e,e,e,e,e,e,e,e,e,e,e,e,e,e,b,b,b,b,e,e,f,f,f,f,
e,e,b,b,b,b,b,b,e,e,b,b,b,b,b,e,b,b,b,b,b,b,e,e,f,f,
e,e,b,b,b,b,e,e,b,b,b,b,b,b,b,b,e,e,b,b,b,b,e,e,f,f,
e,e,e,e,e,e,b,b,b,b,b,b,b,b,b,b,b,b,e,e,e,e,e,e,e,e,
e,e,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,e,e,e,e,
e,e,e,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,e,e,e,e,e,
e,e,e,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,e,e,e,e,e,
e,e,e,e,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,e,e,e,e,e,e,
e,e,e,e,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,e,e,e,e,e,e,
r,r,e,e,b,b,e,e,b,b,b,b,e,e,e,e,b,b,b,e,e,e,r,r,r,r,
r,r,e,e,b,b,e,e,e,e,e,e,e,e,e,e,b,b,b,e,e,e,r,r,r,r,
e,e,e,e,e,b,e,e,s,e,e,e,s,e,e,e,b,b,b,e,e,e,e,e,e,e,
e,e,e,e,e,b,e,e,s,e,e,e,s,e,e,e,b,b,b,e,e,e,e,e,e,e,
e,e,e,e,e,b,e,e,e,e,e,e,e,e,e,e,b,b,b,b,e,e,b,e,e,e,
e,e,e,e,e,b,b,b,e,e,e,e,e,e,b,b,b,b,b,b,e,e,b,e,e,e,
e,e,e,e,e,e,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,e,e,e,
s,s,e,e,e,e,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,e,e,e,
f,f,e,e,e,e,e,b,b,b,b,b,b,b,b,b,b,b,b,b,b,e,e,e,e,e,
f,f,e,e,e,e,e,b,b,b,b,b,b,b,b,b,b,b,b,e,e,e,e,e,s,s,
f,f,f,f,e,e,e,e,b,b,b,b,b,b,b,b,b,e,e,e,e,e,e,e,f,f,
f,f,f,f,e,e,e,e,e,e,b,b,e,e,e,e,e,e,e,e,e,e,e,e,f,f,
e,e,f,f,f,f,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,f,f,e,e,
e,e,f,f,f,f,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,f,f,e,e,
